SK_ID_CURR,CNT_CHILDREN,AMT_INCOME_TOTAL,Age,YEARS_EMPLOYED,AMT_CREDIT,CODE_GENDER,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,OCCUPATION_TYPE,ORGANIZATION_TYPE,NAME_INCOME_TYPE,CREDIT_INCOME_PERCENT,ANNUITY_INCOME_PERCENT
238004,0,45000.0,52.0,7.0,900000.0,F,2.0,Cash loans,Primaire,Self-employed,Working,20.0,0.5848
274773,0,306000.0,45.0,16.0,848745.0,F,1.0,Cash loans,Tertiaire,Security,Working,2.773676470588235,0.1508970588235294
250943,0,90000.0,27.0,1.0,360000.0,F,1.0,Cash loans,Tertiaire,Medicine,Working,4.0,0.217
196425,0,247500.0,50.0,5.0,450000.0,F,1.0,Revolving loans,Primaire,Self-employed,Working,1.818181818181818,0.0909090909090909
166748,0,112500.0,39.0,1.0,467257.5,F,2.0,Cash loans,Primaire,Business,Commercial associate,4.1534,0.15772
160204,0,130500.0,29.0,2.0,225000.0,F,1.0,Cash loans,Primaire,Serivce,Working,1.7241379310344829,0.0848620689655172
266589,0,270000.0,50.0,7.0,675000.0,F,2.0,Cash loans,Primaire,Industry,Commercial associate,2.5,0.1055833333333333
280415,0,405000.0,34.0,15.0,942300.0,F,1.0,Cash loans,Secondaire,Serivce,Commercial associate,2.3266666666666667,0.0750555555555555
183071,0,117000.0,39.0,17.0,808650.0,F,2.0,Cash loans,Tertiaire,Medicine,Working,6.911538461538462,0.2240769230769231
156300,0,112500.0,22.0,1.0,270000.0,F,2.0,Revolving loans,Primaire,Business,Working,2.4,0.12
200154,1,270000.0,47.0,1.0,2313963.0,M,3.0,Cash loans,Tertiaire,Business,Working,8.570233333333332,0.33535
285492,0,765000.0,42.0,1.0,2356920.0,F,2.0,Cash loans,Tertiaire,Business,Commercial associate,3.080941176470588,0.1566823529411764
124055,0,148500.0,27.0,1.0,1236816.0,M,1.0,Cash loans,Primaire,Trade,Working,8.328727272727273,0.2435151515151515
163205,0,112500.0,56.0,9.0,312768.0,F,1.0,Cash loans,Primaire,Serivce,Working,2.78016,0.179
117591,0,382500.0,63.0,10.0,2085120.0,F,1.0,Cash loans,Secondaire,Self-employed,Commercial associate,5.451294117647059,0.1898235294117647
151698,1,112500.0,44.0,13.0,1078200.0,M,3.0,Cash loans,Tertiaire,Business,Working,9.584,0.31032
207221,3,157500.0,38.0,4.0,907029.0,F,5.0,Cash loans,Tertiaire,Self-employed,Working,5.758914285714286,0.3076571428571428
222134,1,157500.0,52.0,7.0,254700.0,M,3.0,Cash loans,Secondaire,Transport,Working,1.6171428571428572,0.1832857142857142
246189,0,216000.0,64.0,37.0,460728.0,F,2.0,Cash loans,Tertiaire,Medicine,Commercial associate,2.133,0.061125
100135,0,135000.0,54.0,1.0,391194.0,M,2.0,Cash loans,Primaire,Business,Commercial associate,2.897733333333333,0.1946
101317,0,310500.0,52.0,3.0,900000.0,M,2.0,Revolving loans,Secondaire,Self-employed,Commercial associate,2.898550724637681,0.144927536231884
191092,2,153000.0,38.0,3.0,640080.0,F,4.0,Cash loans,Tertiaire,Medicine,Working,4.183529411764706,0.1958823529411764
114165,0,225000.0,33.0,3.0,755190.0,M,2.0,Cash loans,Tertiaire,Business,Working,3.3564,0.16204
137386,0,135000.0,50.0,12.0,900000.0,F,2.0,Cash loans,Primaire,Education,State servant,6.666666666666667,0.2653666666666666
252704,1,112500.0,31.0,3.0,675000.0,F,3.0,Cash loans,Tertiaire,Self-employed,Working,6.0,0.28864
227918,1,45000.0,33.0,3.0,135000.0,F,3.0,Revolving loans,Primaire,Business,Commercial associate,3.0,0.15
151765,0,180000.0,55.0,3.0,472500.0,M,2.0,Cash loans,Secondaire,Other,Commercial associate,2.625,0.13475
160635,1,162000.0,37.0,8.0,1192500.0,F,3.0,Cash loans,Primaire,Business,Working,7.361111111111111,0.2615833333333333
285361,2,261000.0,33.0,5.0,390384.0,F,4.0,Cash loans,Primaire,Trade,Commercial associate,1.4957241379310344,0.1696551724137931
225856,0,189000.0,48.0,6.0,622188.0,M,1.0,Cash loans,Primaire,Education,Working,3.292,0.1189285714285714
140525,1,180000.0,43.0,3.0,561384.0,M,3.0,Cash loans,Secondaire,Business,Working,3.1188,0.37085
124602,1,225000.0,37.0,2.0,1471333.5,F,3.0,Cash loans,Primaire,Business,Working,6.53926,0.19178
216250,0,157500.0,57.0,8.0,774117.0,F,1.0,Cash loans,Primaire,Medicine,Working,4.915028571428572,0.2090571428571428
238244,0,180000.0,62.0,9.0,450000.0,F,1.0,Revolving loans,Primaire,Serivce,Working,2.5,0.125
260854,1,180000.0,42.0,9.0,463500.0,M,2.0,Cash loans,Tertiaire,Business,Working,2.575,0.1246
281852,0,112500.0,29.0,4.0,675000.0,M,2.0,Cash loans,Primaire,Business,Commercial associate,6.0,0.2216
116923,0,630000.0,36.0,1.0,2220259.5,M,1.0,Cash loans,Tertiaire,Business,Commercial associate,3.5242214285714284,0.0971214285714285
121269,0,67500.0,47.0,1.0,180000.0,F,1.0,Revolving loans,Tertiaire,Education,Working,2.6666666666666665,0.1333333333333333
232465,1,90000.0,43.0,2.0,518562.0,F,3.0,Cash loans,Primaire,Business,Working,5.7618,0.29605
197194,1,270000.0,56.0,3.0,547344.0,F,3.0,Cash loans,Primaire,Medicine,Commercial associate,2.0272,0.11685
183508,0,112500.0,24.0,2.0,566055.0,F,2.0,Cash loans,Tertiaire,Serivce,Working,5.0316,0.19612
229906,0,121500.0,28.0,3.0,203760.0,F,1.0,Cash loans,Tertiaire,Medicine,Commercial associate,1.677037037037037,0.1335555555555555
105797,0,193500.0,54.0,4.0,387000.0,M,2.0,Cash loans,Primaire,Business,Working,2.0,0.1352790697674418
264083,2,135000.0,36.0,10.0,279000.0,F,4.0,Cash loans,Primaire,Security,State servant,2.066666666666667,0.0788666666666666
216398,0,378000.0,42.0,16.0,540000.0,F,1.0,Cash loans,Primaire,Self-employed,Working,1.4285714285714286,0.077845238095238
234178,2,157500.0,33.0,11.0,598500.0,M,4.0,Cash loans,Primaire,Serivce,State servant,3.8,0.1225714285714285
145314,0,225000.0,26.0,1.0,156384.0,M,1.0,Cash loans,Tertiaire,Business,Commercial associate,0.69504,0.07918
265507,1,157500.0,43.0,3.0,484789.5,F,2.0,Cash loans,Tertiaire,Business,Commercial associate,3.078028571428572,0.1312285714285714
269854,0,112500.0,46.0,6.0,225000.0,F,2.0,Cash loans,Tertiaire,Other,Working,2.0,0.21336
154748,1,90000.0,43.0,0.0,312768.0,M,2.0,Cash loans,Primaire,Security,Working,3.4752,0.18195
251856,0,175500.0,44.0,3.0,1521000.0,F,2.0,Cash loans,Primaire,Self-employed,Working,8.666666666666666,0.3012307692307692
158255,0,193500.0,41.0,8.0,450000.0,F,2.0,Cash loans,Tertiaire,Medicine,Working,2.3255813953488373,0.2152093023255814
207728,2,67500.0,38.0,10.0,102429.0,F,4.0,Cash loans,Primaire,Business,Working,1.5174666666666667,0.1075333333333333
113096,0,270000.0,45.0,11.0,886500.0,F,1.0,Cash loans,Tertiaire,Business,Working,3.283333333333333,0.096
106642,1,202500.0,39.0,17.0,1125000.0,M,3.0,Cash loans,Primaire,Business,Working,5.555555555555555,0.1630888888888889
256735,2,81000.0,32.0,4.0,454500.0,F,4.0,Cash loans,Primaire,Self-employed,Working,5.611111111111111,0.5482222222222223
188059,1,112500.0,34.0,7.0,508495.5,M,3.0,Cash loans,Secondaire,Self-employed,Working,4.51996,0.19264
105440,2,117000.0,28.0,0.0,113746.5,F,4.0,Cash loans,Primaire,Business,Commercial associate,0.9721923076923076,0.0790384615384615
182495,0,135000.0,48.0,1.0,495351.0,F,2.0,Cash loans,Primaire,Industry,Working,3.669266666666666,0.2058333333333333
259552,0,117000.0,31.0,1.0,580500.0,F,2.0,Cash loans,Primaire,Business,Commercial associate,4.961538461538462,0.2096923076923077
251025,0,135000.0,53.0,5.0,1255680.0,F,2.0,Cash loans,Primaire,Self-employed,Commercial associate,9.301333333333334,0.3083666666666667
181039,0,112500.0,39.0,10.0,675000.0,M,2.0,Cash loans,Primaire,Self-employed,Working,6.0,0.28864
275414,1,247500.0,32.0,10.0,540000.0,M,3.0,Revolving loans,Primaire,Transport,Working,2.1818181818181817,0.109090909090909
281615,0,63000.0,51.0,3.0,526491.0,F,2.0,Cash loans,Primaire,Self-employed,Working,8.357,0.3022142857142857
286165,1,180000.0,28.0,2.0,497520.0,M,3.0,Cash loans,Tertiaire,Self-employed,Working,2.764,0.1594
217245,0,135000.0,32.0,1.0,219069.0,F,2.0,Cash loans,Primaire,Business,Working,1.6227333333333334,0.089
165754,0,445500.0,39.0,7.0,454500.0,F,1.0,Cash loans,Tertiaire,Other,Commercial associate,1.02020202020202,0.1074242424242424
250258,0,225000.0,46.0,18.0,900000.0,F,2.0,Cash loans,Tertiaire,Medicine,Commercial associate,4.0,0.11754
236736,2,171000.0,28.0,2.0,1288350.0,F,4.0,Cash loans,Primaire,Trade,Working,7.53421052631579,0.1995
104569,0,135000.0,46.0,27.0,1206000.0,F,2.0,Cash loans,Primaire,Serivce,Working,8.933333333333334,0.2621666666666666
225459,0,153000.0,40.0,9.0,539100.0,F,2.0,Cash loans,Primaire,Education,State servant,3.523529411764706,0.1501176470588235
209542,0,135000.0,34.0,13.0,403249.5,M,2.0,Cash loans,Primaire,Industry,Working,2.987033333333333,0.0980333333333333
115031,2,112500.0,32.0,9.0,1493086.5,F,4.0,Cash loans,Primaire,Serivce,State servant,13.27188,0.46248
212032,0,202500.0,30.0,9.0,328405.5,F,1.0,Cash loans,Tertiaire,Medicine,State servant,1.6217555555555556,0.128
270173,0,360000.0,52.0,23.0,1096020.0,F,1.0,Cash loans,Tertiaire,Serivce,Working,3.0445,0.12935
210400,0,135000.0,58.0,3.0,448056.0,F,2.0,Cash loans,Tertiaire,Serivce,Working,3.3189333333333333,0.1260666666666666
169619,0,112500.0,43.0,6.0,1288350.0,F,2.0,Cash loans,Primaire,Business,Working,11.452,0.336
151002,0,247500.0,59.0,24.0,1204623.0,F,2.0,Cash loans,Tertiaire,Industry,Working,4.867163636363636,0.2501636363636363
140630,0,90000.0,52.0,9.0,239850.0,F,2.0,Cash loans,Primaire,Self-employed,Working,2.665,0.28275
141716,1,247500.0,57.0,1.0,755190.0,F,2.0,Cash loans,Tertiaire,Trade,Commercial associate,3.051272727272728,0.1563090909090909
235758,0,135000.0,42.0,1.0,1046142.0,M,2.0,Cash loans,Primaire,Business,Working,7.7492,0.2275333333333333
269210,1,135000.0,34.0,11.0,327024.0,F,3.0,Cash loans,Primaire,Business,Working,2.4224,0.1923333333333333
294156,0,202500.0,48.0,0.0,1288350.0,M,2.0,Cash loans,Tertiaire,Business,Working,6.362222222222222,0.1866666666666666
283369,1,130500.0,32.0,3.0,486000.0,F,3.0,Cash loans,Primaire,Business,Working,3.724137931034482,0.1801379310344827
261904,0,337500.0,53.0,2.0,1546020.0,F,2.0,Cash loans,Primaire,Business,Working,4.5808,0.13432
110171,0,135000.0,26.0,4.0,900000.0,M,2.0,Cash loans,Primaire,Trade,Working,6.666666666666667,0.2539333333333333
113093,0,112500.0,21.0,0.0,180000.0,F,2.0,Revolving loans,Primaire,Business,Working,1.6,0.08
258332,1,292500.0,38.0,11.0,1642500.0,F,3.0,Cash loans,Primaire,Education,State servant,5.615384615384615,0.1485692307692307
294291,1,202500.0,28.0,4.0,1350000.0,F,3.0,Cash loans,Tertiaire,Business,Working,6.666666666666667,0.2650444444444444
281064,0,135000.0,51.0,12.0,1065433.5,M,2.0,Cash loans,Secondaire,Self-employed,Working,7.8921,0.3139666666666666
247502,1,108000.0,33.0,10.0,808650.0,F,3.0,Cash loans,Primaire,Education,Working,7.4875,0.2415416666666666
105525,0,112500.0,41.0,21.0,675000.0,F,2.0,Cash loans,Primaire,Business,Commercial associate,6.0,0.19356
217126,0,198000.0,47.0,3.0,840996.0,F,1.0,Cash loans,Tertiaire,Business,Commercial associate,4.247454545454546,0.124840909090909
247418,0,270000.0,57.0,4.0,675000.0,M,2.0,Cash loans,Primaire,Education,State servant,2.5,0.08065
204782,0,175500.0,58.0,38.0,1193656.5,F,2.0,Cash loans,Primaire,Education,State servant,6.801461538461538,0.2888974358974359
100588,1,157500.0,32.0,4.0,679500.0,F,2.0,Cash loans,Primaire,Self-employed,Commercial associate,4.314285714285714,0.1269714285714285
278014,0,225000.0,33.0,11.0,1535553.0,F,2.0,Cash loans,Tertiaire,Business,Working,6.82468,0.1806
123734,0,112500.0,28.0,3.0,490536.0,F,2.0,Cash loans,Primaire,Trade,Working,4.36032,0.16552
127362,0,312750.0,56.0,10.0,283419.0,F,2.0,Cash loans,Primaire,Education,State servant,0.9062158273381294,0.0329640287769784
216599,1,112500.0,38.0,10.0,900000.0,F,3.0,Cash loans,Primaire,Security,Commercial associate,8.0,0.23392
224297,0,112500.0,50.0,29.0,585000.0,F,2.0,Cash loans,Primaire,Industry,Working,5.2,0.173
261113,0,180000.0,53.0,7.0,270000.0,F,1.0,Revolving loans,Tertiaire,Business,Working,1.5,0.075
211601,2,225000.0,37.0,4.0,1303812.0,F,4.0,Cash loans,Primaire,Business,Commercial associate,5.79472,0.15992
282416,0,180000.0,33.0,3.0,1024740.0,M,2.0,Cash loans,Primaire,Self-employed,Working,5.693,0.273875
113594,1,270000.0,36.0,6.0,1762110.0,M,3.0,Cash loans,Primaire,Business,Commercial associate,6.5263333333333335,0.17995
212498,0,225000.0,52.0,5.0,450000.0,F,2.0,Cash loans,Tertiaire,Trade,Commercial associate,2.0,0.0754
166602,1,90000.0,25.0,0.0,180000.0,F,2.0,Revolving loans,Primaire,Trade,Working,2.0,0.1
133032,1,180000.0,38.0,1.0,620878.5,F,3.0,Cash loans,Primaire,Self-employed,Working,3.449325,0.13075
103411,0,202500.0,51.0,3.0,2085120.0,F,1.0,Cash loans,Tertiaire,Transport,Commercial associate,10.296888888888889,0.3585555555555555
196031,0,67500.0,52.0,4.0,755190.0,F,2.0,Cash loans,Primaire,Business,Working,11.188,0.5739333333333333
164775,0,225000.0,40.0,7.0,497520.0,F,2.0,Cash loans,Primaire,Serivce,Commercial associate,2.2112,0.1413
241220,0,112500.0,29.0,6.0,381528.0,F,2.0,Cash loans,Tertiaire,Medicine,State servant,3.39136,0.12784
102688,0,139500.0,54.0,2.0,450000.0,F,1.0,Cash loans,Primaire,Self-employed,Working,3.225806451612903,0.1759354838709677
290445,0,157500.0,35.0,4.0,760225.5,F,1.0,Cash loans,Primaire,Self-employed,Working,4.826828571428571,0.1914285714285714
228828,0,90000.0,22.0,1.0,180000.0,M,1.0,Revolving loans,Secondaire,Industry,Working,2.0,0.1
220608,0,157500.0,32.0,5.0,675000.0,F,2.0,Cash loans,Primaire,Self-employed,Working,4.285714285714286,0.181
175511,0,135000.0,48.0,27.0,922500.0,F,2.0,Cash loans,Tertiaire,Industry,Working,6.833333333333333,0.2007666666666666
255506,0,202500.0,29.0,9.0,810000.0,M,1.0,Cash loans,Primaire,Self-employed,Working,4.0,0.1417111111111111
111925,1,112500.0,46.0,1.0,545040.0,M,3.0,Cash loans,Primaire,Self-employed,Commercial associate,4.8448,0.3166
252204,0,382500.0,55.0,6.0,594000.0,F,2.0,Cash loans,Tertiaire,Serivce,Working,1.5529411764705885,0.0454
231094,0,225000.0,54.0,2.0,604152.0,F,1.0,Cash loans,Primaire,Trade,Working,2.68512,0.11376
221443,0,99000.0,53.0,5.0,742500.0,F,2.0,Cash loans,Primaire,Business,Working,7.5,0.2205909090909091
121926,0,135000.0,58.0,9.0,545040.0,M,2.0,Cash loans,Secondaire,Business,Working,4.037333333333334,0.145
107513,1,315000.0,39.0,6.0,909000.0,F,3.0,Cash loans,Tertiaire,Self-employed,Working,2.8857142857142857,0.1222571428571428
273276,0,157500.0,30.0,3.0,239850.0,F,2.0,Cash loans,Tertiaire,Serivce,Working,1.522857142857143,0.1514285714285714
166797,0,202500.0,42.0,10.0,675000.0,F,2.0,Cash loans,Tertiaire,Medicine,Working,3.333333333333333,0.0981111111111111
159532,1,54000.0,32.0,4.0,327024.0,F,3.0,Cash loans,Primaire,Self-employed,Working,6.056,0.2969166666666666
234585,0,315000.0,53.0,1.0,1193733.0,F,2.0,Cash loans,Tertiaire,Business,Working,3.789628571428572,0.1365285714285714
187754,1,117000.0,46.0,8.0,206280.0,F,3.0,Cash loans,Primaire,Serivce,Commercial associate,1.763076923076923,0.067576923076923
199920,0,202500.0,56.0,6.0,1183500.0,F,1.0,Cash loans,Tertiaire,Medicine,State servant,5.844444444444444,0.1613555555555555
212355,0,117000.0,44.0,12.0,202500.0,F,2.0,Revolving loans,Primaire,Serivce,Working,1.7307692307692308,0.0865384615384615
272333,0,180000.0,40.0,3.0,792346.5,M,2.0,Cash loans,Primaire,Business,Commercial associate,4.401925,0.145475
134099,2,112500.0,33.0,13.0,127350.0,F,3.0,Cash loans,Tertiaire,Medicine,State servant,1.132,0.12124
244731,0,235350.0,41.0,9.0,485640.0,F,2.0,Cash loans,Primaire,Trade,Commercial associate,2.063479923518164,0.1473040152963671
292169,0,247500.0,35.0,7.0,1024740.0,M,2.0,Cash loans,Tertiaire,Serivce,Commercial associate,4.140363636363636,0.2114
186176,2,148500.0,42.0,10.0,1800000.0,M,4.0,Cash loans,Primaire,Industry,Working,12.12121212121212,0.3206363636363636
114868,2,67500.0,36.0,2.0,729792.0,M,4.0,Cash loans,Primaire,Security,Working,10.811733333333333,0.3902666666666666
255755,0,157500.0,28.0,3.0,601677.0,F,2.0,Cash loans,Primaire,Business,Commercial associate,3.8201714285714288,0.1789142857142857
238217,0,225000.0,29.0,8.0,1674000.0,F,2.0,Cash loans,Primaire,Education,State servant,7.44,0.25918
242453,0,292500.0,48.0,8.0,1772352.0,F,2.0,Cash loans,Tertiaire,Other,Commercial associate,6.059323076923077,0.1907076923076923
284477,0,180000.0,54.0,2.0,1018899.0,M,1.0,Cash loans,Primaire,Business,Working,5.66055,0.201275
152245,0,180000.0,35.0,5.0,900000.0,M,2.0,Cash loans,Secondaire,Trade,Working,5.0,0.177875
204050,0,157500.0,23.0,3.0,948582.0,M,2.0,Cash loans,Primaire,Security,State servant,6.022742857142857,0.1769142857142857
161327,0,225000.0,43.0,2.0,900000.0,M,2.0,Cash loans,Primaire,Self-employed,Commercial associate,4.0,0.11696
237600,0,225000.0,40.0,11.0,349609.5,M,2.0,Cash loans,Primaire,Business,Working,1.55382,0.08486
166754,0,225000.0,33.0,8.0,1762110.0,M,2.0,Cash loans,Primaire,Business,Commercial associate,7.8316,0.20716
201868,0,135000.0,52.0,9.0,1035000.0,M,2.0,Cash loans,Tertiaire,Self-employed,Commercial associate,7.666666666666667,0.3248333333333333
203987,0,112500.0,44.0,15.0,540000.0,F,2.0,Cash loans,Primaire,Business,Working,4.8,0.14148
265828,0,256500.0,24.0,1.0,521280.0,F,1.0,Cash loans,Tertiaire,Serivce,Working,2.032280701754386,0.1069122807017543
235764,0,202500.0,55.0,13.0,508495.5,F,2.0,Cash loans,Tertiaire,Business,Working,2.5110888888888887,0.1288444444444444
102800,1,90000.0,38.0,1.0,652500.0,M,3.0,Cash loans,Primaire,Business,Working,7.25,0.28235
197712,1,126000.0,43.0,1.0,254700.0,M,3.0,Cash loans,Primaire,Serivce,Working,2.021428571428572,0.1361071428571428
137439,0,157500.0,38.0,12.0,405000.0,F,2.0,Revolving loans,Primaire,Industry,Commercial associate,2.571428571428572,0.1285714285714285
218964,0,166500.0,55.0,27.0,1449000.0,F,2.0,Cash loans,Tertiaire,Medicine,State servant,8.702702702702704,0.2303513513513513
196902,1,180000.0,38.0,3.0,588874.5,F,3.0,Cash loans,Primaire,Business,Working,3.271525,0.153225
186550,2,351000.0,39.0,11.0,1078200.0,F,4.0,Cash loans,Tertiaire,Housing,Working,3.071794871794872,0.0901794871794871
276907,1,225000.0,47.0,5.0,1496884.5,M,3.0,Cash loans,Secondaire,Business,Working,6.65282,0.1755
239113,0,157500.0,37.0,3.0,227520.0,F,2.0,Cash loans,Primaire,Education,State servant,1.4445714285714286,0.0814857142857142
151777,1,112500.0,34.0,4.0,247500.0,F,2.0,Revolving loans,Primaire,Serivce,Working,2.2,0.11
212554,0,135000.0,37.0,6.0,486459.0,M,2.0,Cash loans,Primaire,Business,Commercial associate,3.6034,0.1762333333333333
155685,0,274500.0,57.0,12.0,1078200.0,F,1.0,Cash loans,Primaire,Serivce,Commercial associate,3.927868852459016,0.115311475409836
240598,3,126000.0,36.0,10.0,607500.0,F,5.0,Cash loans,Primaire,Serivce,Working,4.821428571428571,0.1565714285714285
129505,0,225000.0,45.0,5.0,153000.0,M,2.0,Cash loans,Primaire,Industry,Working,0.68,0.0396
137930,1,67500.0,45.0,19.0,693301.5,F,3.0,Cash loans,Primaire,Education,State servant,10.271133333333331,0.4524
286463,0,180000.0,51.0,1.0,571446.0,F,2.0,Cash loans,Primaire,Trade,Working,3.1747,0.088025
109148,0,135000.0,28.0,5.0,180000.0,M,1.0,Revolving loans,Tertiaire,Medicine,Working,1.3333333333333333,0.0666666666666666
124679,1,130500.0,34.0,8.0,247275.0,M,3.0,Cash loans,Primaire,Serivce,Working,1.8948275862068968,0.1357586206896551
171231,1,157500.0,41.0,8.0,315000.0,F,3.0,Cash loans,Tertiaire,Business,Working,2.0,0.0932285714285714
175067,0,135000.0,24.0,1.0,202500.0,F,2.0,Revolving loans,Primaire,Serivce,Working,1.5,0.075
175814,0,135000.0,50.0,2.0,135000.0,M,2.0,Revolving loans,Primaire,Business,Working,1.0,0.05
252137,0,90000.0,46.0,11.0,562491.0,F,2.0,Cash loans,Primaire,Business,Commercial associate,6.2499,0.3021
263236,1,180000.0,34.0,8.0,1079883.0,M,3.0,Cash loans,Secondaire,Business,Working,5.99935,0.215475
172312,0,108000.0,26.0,2.0,325908.0,F,1.0,Cash loans,Primaire,Business,Working,3.0176666666666665,0.146375
124106,0,166500.0,56.0,4.0,971280.0,F,2.0,Cash loans,Tertiaire,Serivce,Working,5.833513513513513,0.3265135135135135
227733,1,112500.0,37.0,5.0,517788.0,F,3.0,Cash loans,Primaire,Trade,Working,4.60256,0.17464
290891,0,135000.0,67.0,8.0,225000.0,F,2.0,Cash loans,Tertiaire,Education,Working,1.6666666666666667,0.1195
235016,0,225000.0,47.0,4.0,1125000.0,M,2.0,Cash loans,Tertiaire,Business,Commercial associate,5.0,0.16188
240457,2,166500.0,43.0,17.0,1078200.0,M,4.0,Cash loans,Tertiaire,Security,Working,6.475675675675675,0.1901081081081081
253016,0,450000.0,39.0,16.0,1125000.0,M,1.0,Cash loans,Tertiaire,Self-employed,Working,2.5,0.07339
162619,0,45000.0,42.0,10.0,135000.0,F,2.0,Revolving loans,Tertiaire,Serivce,Working,3.0,0.15
166686,2,157500.0,34.0,10.0,742284.0,M,4.0,Cash loans,Tertiaire,Trade,Commercial associate,4.712914285714286,0.2639714285714286
239566,0,168750.0,48.0,19.0,490495.5,F,2.0,Cash loans,Tertiaire,Medicine,Commercial associate,2.90664,0.1556266666666666
139759,0,180000.0,45.0,6.0,263686.5,M,1.0,Cash loans,Primaire,Business,Working,1.464925,0.158475
289768,2,135000.0,34.0,2.0,675000.0,F,4.0,Cash loans,Primaire,Self-employed,Working,5.0,0.2415
214504,0,90000.0,49.0,6.0,458725.5,F,2.0,Cash loans,Tertiaire,Transport,Working,5.09695,0.27795
139687,0,157500.0,46.0,4.0,936000.0,F,2.0,Cash loans,Primaire,Self-employed,Working,5.942857142857143,0.1745714285714285
102986,2,175500.0,41.0,1.0,646389.0,M,4.0,Cash loans,Primaire,Transport,Working,3.683128205128205,0.226076923076923
110969,1,135000.0,34.0,3.0,490536.0,F,3.0,Cash loans,Primaire,Business,Working,3.6336,0.1693666666666666
132299,0,112500.0,25.0,5.0,463500.0,F,2.0,Cash loans,Primaire,Serivce,Working,4.12,0.11444
175167,0,157500.0,43.0,1.0,243000.0,F,2.0,Cash loans,Primaire,Business,Working,1.542857142857143,0.0628285714285714
